id	name	image	biog	url_key
523	Dembo Konte & Kausu Kuyateh	NULL	NULL	884hf
524	Demolition Doll Rods	NULL	NULL	vvczb
525	Department S	NULL	NULL	44rgw
526	Depth Charge	NULL	NULL	cchj9
527	Derek & The Dominoes	NULL	NULL	rrzfd
528	Derek Brimstone	NULL	NULL	hhgb6
529	Derrero	NULL	NULL	zzjwx
530	Det Ri Mental	NULL	NULL	gjw6m
531	Detroit Cobras	NULL	NULL	jf9x2
532	Deviated Instinct	NULL	NULL	fbdpn
533	Dexy's Midnight Runners	NULL	NULL	bw63q
534	Diagram Brothers	NULL	NULL	w9xm5
535	Diatribe	NULL	NULL	9dp28
536	Diblo Dibala	NULL	NULL	d63nv
537	Dick Dale	NULL	NULL	6xmq4
538	Dick Gaughan	NULL	NULL	xp25c
539	Die Toten Hosen	NULL	NULL	p3n8r
540	Die Zwei At The Rodeo	NULL	NULL	3mqvh
541	Digital Mystikz	NULL	NULL	m254z
542	Dinosaur Jr	NULL	NULL	2n8cg
543	Dire Straits	NULL	NULL	nqvrj
544	Dirtbombs	NULL	NULL	q54hf
545	Dislocation Dance	NULL	NULL	58czb
546	Disposable Heroes Of Hiphoprisy	NULL	NULL	8vrgw
547	Distorted Waves Of Ohm	NULL	NULL	v4hj9
548	DJ Distance	NULL	NULL	4czfd
549	DJ Eastwood & Friends	NULL	NULL	crgb6
550	DJ Hell	NULL	NULL	rhjwx
551	DJ Rap	NULL	NULL	hzf9p
552	DJ Shadow	NULL	NULL	zgbd3
553	DM Bob & The Deficits	NULL	NULL	gf9x2
554	Do Make Say Think	NULL	NULL	jbdpn
555	Doctor Calculus	NULL	NULL	fw63q
556	Doctor Oloh	NULL	NULL	b9xm5
557	Doctors Of Madness	NULL	NULL	wdp28
558	Dog Faced Hermans	NULL	NULL	963nv
559	Doily	NULL	NULL	dxmq4
560	Dolly Mixture	NULL	NULL	6p25c
561	Done Lying Down	NULL	NULL	x3n8r
562	Donkey	NULL	NULL	pmqvh
563	Donovan	NULL	NULL	3254z
564	Doo Rag	NULL	NULL	mn8cg
565	Doom	NULL	NULL	2qvrj
566	Doomed	NULL	NULL	n54hf
567	Doors	NULL	NULL	q8czb
568	Dormannu	NULL	NULL	5vrgw
569	Dose	NULL	NULL	84hj9
570	Double	NULL	NULL	vczfd
571	Dr & The Crippens	NULL	NULL	4rgb6
572	Dr Devious	NULL	NULL	chjwx
573	Dr Feelgood	NULL	NULL	rzf9p
574	Dr Oloh & His Milo Jazz Band	NULL	NULL	hgbd3
575	Dr Phibes	NULL	NULL	zjw6m
576	Dr Phibes & The House Of Wax Equations	NULL	NULL	gbdpn
577	Drag Racing Underground	NULL	NULL	jw63q
578	Dransfields	NULL	NULL	f9xm5
579	Dreadzone	NULL	NULL	bdp28
580	Dream City Film Club	NULL	NULL	w63nv
581	Dressy Bessy	NULL	NULL	9xmq4
582	Drive	NULL	NULL	dp25c
583	Drome	NULL	NULL	63n8r
584	Drones	NULL	NULL	xmqvh
585	Drop Nineteens	NULL	NULL	p254z
586	Drop The Lime	NULL	NULL	3n8cg
587	Drowning Craze	NULL	NULL	mqvrj
588	Drum Club	NULL	NULL	254hf
589	Drunk Tank	NULL	NULL	n8czb
590	Duane Eddy	NULL	NULL	qvrgw
591	Dub Sex	NULL	NULL	54hj9
592	Ducks Deluxe	NULL	NULL	8czfd
593	Dumb	NULL	NULL	vrgb6
594	Dustball	NULL	NULL	4hjwx
595	Dweeb	NULL	NULL	czf9p
596	Dynamic Three	NULL	NULL	rgbd3
597	Eat Static	NULL	NULL	hjw6m
598	EC80R	NULL	NULL	zf9x2
599	Echo & The Bunnymen	NULL	NULL	gw63q
600	Echobelly	NULL	NULL	j9xm5
601	Echoboy	NULL	NULL	fdp28
602	Econoline	NULL	NULL	b63nv
603	Ecstasy Of Saint Theresa	NULL	NULL	wxmq4
604	Ed Hall	NULL	NULL	9p25c
